,0
1989,Rrrreally.
1990,"Oh, yeah, oh, I'm sure of it. You should just do it, just sweep and throw me. "
1991,...Now? Now?
1992,"Oh yeah, right now."
1993,"Okay, okay, okay.  Y'know what, this was just really expensive.  And I'll take- this was a gift. "
1994,"Okay, now you're just kinda tidying. "
1995,"Okay, what the hell, what the hell.  You want me to actually throw you or you-you wanna just hop?"
1996,I can hop. 
1997,So tell me something. What does the phrase 'no date pact' mean to you?
1998,"I'm sorry, okay. It's just that Chandler has somebody, and Phoebe has somebody- I thought I'd ask Fun Bobby."
1999,Fun Bobby? Your ex-boyfriend Fun Bobby?
2001,You know more than one Fun Bobby?
2002,I happen to know a Fun Bob.
2003,"Okay, here we go..."
2004,"Ooh ooh ooh ooh, there's no room for milk!"
2005,There. Now there is.
2006,"Okay, so on our no-date evening, three of you now have dates."
2007,"Uh, four."
2008,Four.
2009,Five.
2010,Five. 
2011,Sorry. Paolo's catching an earlier flight.
2012,"Yeah, and I met this really hot single mom at the store. What's an elf to do?"
2013,"Okay, so I'm gonna be the only one standing there alone when the ball drops?"
2014,"Oh, c'mon. We'll have, we'll have a big party, and no-one'll know who's with who."
2015,"Hey, y'know, this is so not what I needed right now."
2016,What's the matter?
2017,"Oh, it's-it's Marcel. He keeps shutting me out, y'know? He's walking around all the time dragging his hands... "
2018,"That's so weird, I had such a blast with him the other night."
2020,"Yeah, we played, we watched TV.. that juggling thing is amazing."
2021,"What, uh... what juggling thing?"
2022,With the balled-up socks? I figured you taught him that.
2024,"Y'know, it wasn't that big a deal. He just balled up socks... and a melon..."
2025,Phoebe. Hi. 
2026,"Oh, hi Max! Hey, do you know everybody?"
2027,No. Have you seen David?
2028,"No, no, he hasn't been around."
2029,"Well, if you see him, tell him to pack his bags. We are going to Minsk."
2030,Minsk?
2031,Minsk. It's in Russia.
2032,I know where Minsk is.
2033,"We got the grant. Three years, all expenses paid."
2034,"So when, when do you leave?"
2035,January first.
2039,Hi!  What-what're you doing here?
2040,"Um, well, Max told me about Minsk, so  congratulations! This is so exciting!"
2041,It'd be even more exciting if we were going.
2042,"Oh, you're not going?  Oh, why?"
2043,"Tell her, David. 'I don't wanna go to Minsk and work with Lifson and Yamaguchi and Flench, on nonononononono. I wanna stay here and make out with my girlfriend!!' "
2044,"Thank you, Max. Thank you."
2045,So-so you're really not going?
2046,I don't know. I don't know what I'm gonna do. I just- you decide.
2047,Oh don't do that.
2048,Please.
2049,Oh no no.
2050,"No, but I'm asking-"
2051,"Oh, but I can't do that-"
2052,"No, but I can't-"
2053,"It's your thing, and-"
2054,-make the decision-
2055,"Okay, um, stay."
2056,Stay.
2058,Getting so good at that! 
2059,It was Max's stuff. 
2060,"I love this artichoke thing! Oh, don't tell me what's in it, the diet starts tomorrow! "
2061,You remember Janice.
2062,Vividly.
2064,"Hi, I'm Sandy."
2065,Sandy! Hi! C'mon in! ...You brought your kids.
2066,"Yeah. That's okay, right?"
2067,Par-tay! 
2068,That thing is not coming in here.
2069,"'That thing'? This is how you greet guests at a party? Let me ask you something, if I showed up here with my new girlfriend, she wouldn't be welcome in your home?"
2070,I'm guessing your new girlfriend wouldn't urinate on my coffee table.
2071,Okay. He was more embarrassed about that than anyone. Okay? And for him to have the courage to walk back in here like nothing happened...
2072,Alright. Just keep him away from me.
2073,"Thank you.  C'mon, Marcel, whaddya say you and I do a little mingling?  Alright, I'll, uh... catch up with you later."
2074,"Oh my gosh! Rachel, honey.. are you okay? Where-where's Paolo?"
2075,Rome. Jerk missed his flight.
2076,And then... your face is bloated?
2077,"No. Okay. I was at the airport, getting into a cab, when this woman- this blonde planet with a pocketbook- starts yelling at me. Something about how it was her cab first. And then the next thing I know she just starts- starts pulling me out by my hair! So I'm blowing my att*ck whistle thingy and three more cabs show up, and as I'm going to get into a cab she tackles me. And I hit my head on the kerb and cut my lip on my whistle...oh...everybody having fun at the party?  Are people eating my dip?"
2078,"Y'know, when I saw you at the store last week, it was probably the first time I ever mentally undressed an elf."
2079,"Wow, that's, uh, dirty."
2081,"Hey, kids..."
2082,"Look at him. I'm not saying he has to spend the whole evening with me, but at least check in."
2083,"There you are! Haaah, you got away from me!"
2084,But you found me!
2085,"Here, Ross, take our picture.  Smile! You're on Janice Camera!"
2086,k*ll me. k*ll me now. 
2087,Hey everybody! It's Fun Bobby!
2088,"Hey, sorry I'm late. But my, uh, grandfather, he- d*ed about two hours ago. But I-I-I couldn't get a flight out 'til tomorrow, so here I am!"
2089,Hey Fun Bobby! Whoah! Who d*ed?
2090,"It's gonna be an open casket, y'know, so at least I'll- I get to see him again."
2091,"Oh, I'm gonna blow this one up, and I'm gonna write 'Reunited' in glitter."
2092,"Alright, Janice, that's it! Janice... Janice... Hey, Janice, when I invited you to this party I didn't necessarily think that it meant that we-"
2093,"Oh, no. Oh, no."
2094,I'm sorry you misunderstood...
2095,"Oh my God. You listen to me, Chandler, you listen to me. One of these times is just gonna be your last chance with me. "
2096,"Oh, will you give me the thing. "
2097,"Hi, Max!"
2098,Yoko.  I've decided to go to Minsk without you.
2100,It won't be the same- but it'll still be Minsk. Happy New Year.
2102,"Yeah, I'm fine, I'm fine. "
2103,You're going to Minsk.
2104,"No, I'm... not going to Minsk."
2105,"Oh, you are so going to Minsk. You belong in Minsk. You can't stay here just 'cause of me."
2106,"Yes I can. Because if I go it means I have to break up with you, and I can't break up with you."
2107,"Oh yes, yes, yes you can. Just say, um, 'Phoebe, my work is my life and that's what I have to do right now'. And I say 'your work?! Your work?! How can you say that?!'. And then you say, um, 'it's tearing me apart, but I have no choice. Can't you understand that?'. And I say  'no! No! I can't understand that!'."
2108,"Uh, ow."
2109,"Ooh, sorry. Um, and, and then you put your arms around me. And then you put your arms around me.  And, um, and then you tell me that you love me and you'll never forget me."
2110,I'll never forget you.
2111,And then you say that it's almost midnight and you have to go because you don't wanna start the new year with me if you can't finish it.  I'm gonna miss you. You scientist guy.
2112,"Hi, this is d*ck Clark, live in Times Square. We're in a virtual snowstorm of confetti here in Times Square..."
2113,"There y'go, kids."
2114,And then the peacock bit me.  Please kiss me at midnight. 
2115,You seen Sandy?
2116,"Ooh. Uh, I don't know how to tell you this, but she's in Monica's bedroom, getting it on with Max, that scientist geek. Ooh, look at that, I did know how to tell you."
2117,"Vrrbddy, the bll is drrbing."
2119,The bll is drrbing!
2120,In twenty seconds it'll be midnight...
2121,And the moment of joy is upon us.
2122,Looks like that no date pact thing worked out.
2123,Everybody looks so happy. I hate that.
2124,Not everybody's happy. Hey Bobby!
2125,"Y'know, I uh.. just thought I'd throw this out here. I'm no math whiz, but I do believe there are three girls and three guys right here. "
2126,I dunno. I don't feel like kissing anyone tonight.
2127,I can't kiss anyone.
2128,So I'm kissing everyone?
2129,"Nonono, you can't kiss Ross, that's your brother."
2130,Perfect. Perfect. So now everybody's getting kissed but me.
2131,"Alright, somebody kiss me. Somebody kiss me, it's midnight! Somebody kiss me!"
2132,Alrightalrightalright.  There.
2133,"I wanted this to work so much. I mean I'm still in there, changing his diapers, pickin' his fleas... but he's just phoning it in. Just so hard to accept the fact that something you love so much doesn't love you back."
2134,...I think that bitch cracked my tooth.
2135,"That is IT! You just barge in here, you don't knock-"
2136,I'm sorry!
2137,-You have no respect for anybody's privacy-
2138,"Rachel, wait, wait."
2139,"No, you wait! This is ridiculous!"
2140,Can I just say one thing?
2141,What? What?!
2142,That's a relatively open weave and I can still see your... nipular areas.
2143,Oh!!
2144,"Oh, honey, honey, tell them the story about your patient who thinks things are, like, other things. Y'know? Like, the phone rings and she takes a shower."
2145,That's pretty much it.
2146,Oops!
2147,"But you tell it really well, sweetie."
2148,"Thanks. Okay, now go away so we can talk about you."
2149,Okay. I'll miss you.
2150,Isn't he great?
2151,He's so cute! And he seems to like you so much.
2152,"I know, I know. So sweet... and so complicated. And for a shrink, he's not too shrinky, y'know?"
2153,"So, you think you'll do it on his couch?"
2154,"Oh, I don't know, I don't know. I think that's a little weird, y'know? Vinyl."
2155,Okaaay.  Any of you guys want anything else?
2156,"Oh, yes, could I have one of those-"
2157,"No, I'm sorry, we're all out of those. Anybody else?"
2159,"Did I, uh, did I miss something?"
2160,"No, she's still upset because I saw her boobies."
2161,You what? Wh- what were you doing seeing her boobies?
2162,It was an accident. Not like I was across the street with a telescope and a box of donuts.
2163,"Okay, okay, could we change the subject, please?"
2164,"Yeah, 'cause hello, these are not her boobies, these are her breasts."
2165,"Okay, Pheebs, I was hoping for more of a change."
2166,"Y'know, I don't know why you're so embarrassed, they were very nice boobies."
2167,"Nice? They were nice. I mean, that's it? I mean, mittens are nice."
2168,"Okaaay,  rock, hard place, me."
2169,You're so funny! He's really funny! I wouldn't wanna be there when- when the laughter stops.
2170,"Whoah whoah, back up there, Sparky. What'd you mean by that?"
2171,"Oh, just seems as though that maybe you have intimacy issues. Y'know, that you use your humour as a way of keeping people at a distance."
2173,"I mean hey! I just met you, I don't know you from Adam. ...Only child, right? Parents divorced before you hit puberty."
2174,"Uh-huh, how did you know that?"
2175,It's textbook.
2176,"Hey you guys. Hey, you all know my dad, right?"
2177,"Hey! Hey, Mr. Trib!"
2178,"Hey, how long are you in the city?"
2179,Just for a coupla days. I got a job mid-town. I figure I'm better off staying with the kid than hauling my ass back and forth on the ferry.  I don't know this one.
2180,"Oh, this is my friend Roger."
2182,"Hey, hey. Good to meet you, Roger."
2183,"You too, sir."
2184,"What happened to the, uh, puppet guy?"
2185,"Dad, dad. "
2186,"Oh, 'scuse me. So Ross, uh, how's the wife?  Off there too, uh? Uh, Chandler, quick, say something funny!"
2187,"Gotta go. I miss you too, I love you, but it's getting real late now-"
2188,"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me?  Did you know this isn't Ma?"
2189,Her name's Ronni. She's a pet mortician. 
2190,Sure. So how long you been... 
2191,"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships?"
2192,Since then?!
2193,"No, it's only been six years. I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy. ...Joe. Y'ever been in love?"
2194,...I d'know.
2195,Then y'haven't. You're burning your tomatoes.
2196,You're one to talk. 
2197,"Joe, your dad's in love big time. And the worst part of it is, it's with two different women."
2198,Oh man. Please tell me one of 'em is Ma.
2199,"Of course, course one of 'em's Ma. What's the matter with you."
2200,"It's like if you woke up one day and found out your dad was leading this double life. He's like actually some spy, working for the CIA.  That'd be cool.... This blows!"
2201,"I know, I mean, why can't parents just stay parents?  Why do they have to become people? Why do they have...  Why can't you stop staring at my breasts?"
2202,What?  What?
2203,Did you not get a good enough look the other day?
2204,"Alright, alright. We're all adults here, there's only one way to resolve this. Since you saw her boobies, I think, uh, you're gonna have to show her your pee-pee."
2205,"Y'know, I don't see that happening?"
2206,"C'mon, he's right. Tit for tat."
2207,Well I'm not showing you my 'tat'.
2209,It's Phoebe.
2210,And Rog.
2211,C'mon up.
2212,"Oh, good. Rog is here."
2213,What's the matter with Rog?
2215,"Oh, it's nothing, it's a little thing... I hate that guy."
2216,"What, so he was a little analytical. That's what he does, y'know? C'mon, he's not that bad."
2217,"Y'see, that's where you're wrong. Why would I marry her if I thought on any level that-that she was a lesbian?"
2218,I dunno. Maybe you wanted your marriage to fail.
2219,Why? Why would I- why? Why? Why? Why?
2220,"I don't know. Maybe- maybe low self-esteem, maybe- maybe to compensate for overshadowing a sibling, maybe you-"
2221,"Waitwait, go back to that sibling thing."
2222,"Well, I don't know. I mean, it's conceivable that you wanted to sabotage your marriage so that the sibling would feel less of a failure in the eyes of the parents."
2223,That- that's ridiculous! I don't feel guilty for her failures!
2224,Oh! So you think I'm a failure!
2225,Isn't he good?
2226,"Nonono, that-that's not what I was saying..."
2227,"Y'know, all these years, I thought you were on my side. But maybe what you were doing was sucking up to Mom and Dad so they'd keep liking you better!"
2228,"Hey, I married a lesbian to make you look good!"
2229,"You're right! I mean- you're right! It wasn't just the Weebles, but it was the Weeble Play Palace, and- and the Weebles' Cruise Ship. Oh, which had this little lifeboat for the Weebles to wobble in. "
2230,"That's tough. Tough stuff. C'mon, Pheebs, we're gonna catch that movie, we gotta get going. "
2231,"Oh, okay. Feel better, Rachel, 'kay?"
2232,"Geez, we're gonna be late, sweetie..."
2233,"Oh, okay. Listen, thanks for everything, Mon."
2234,You're welcome.
2235,"Listen guys, it was great seeing you again. Mon, um, easy on those cookies, okay? Remember, they're just food, they're not love."
2236,Hate that guy! 
2237,"Night, you guys."
2238,"Oh look, it's the woman we ordered."
2239,"Hey. Can, uh, can we help you?"
2240,"Oh, no thanks, I'm just waiting for, uh, Joey Tribbiani."
2241,I'm Joey Tribbiani.
2242,"Oh no, not you, big Joey. Oh my God, you're so much cuter than your pictures!  I-I'm, I'm Ronni....Cheese Nip?"
2243,"Uh, Joey's having an embolism, but I'd go for a Nip, y'know?"
2244,"Now, y'see, most people, when their pets pass on, they want 'em sorta laid out like they're sleeping. But occasionally you get your person who wants them in a pose. Like, chasing their tail,  or, uh, jumping to catch a frisbee."
2245,"Joey, if I go first, I wanna be looking for my keys."
2246,That's a good one!
2247,"Hey, Joe."
2248,"Dad, Ronni's here."
2249,Huh?
2251,"Hey! Hello, babe! Wh- what're- what're you doing here?"
2252,"Oh, uh, well, you left your good hair at my apartment, I figured you'd need it tomorrow for your meeting. "
2253,Thank you. Uh...
2254,"So, who's up for a big game of Kerplunk?"
2255,"Look, I uh, I shouldn'ta come. I-I'd better get going, I don't wanna miss the last train."
2256,I don't want you taking that thing.
2257,"Oh, where'm I gonna stay, here?"
2258,Whoah-ho.
2259,We'll go to a hotel.
2261,No you won't.
2262,No we won't.
2263,If you go to a hotel you'll be.. doing stuff. I want you right here where I can keep an eye on you.
2264,You're gonna keep an eye on us?
2265,"That's right, mister, and I don't care how old you are, as long as you're under my roof you're gonna live by my rules. And that means no sleeping with your girlfriend."
2266,Wow. He's strict.
2267,"Now dad, you'll be in my room, Ronni- uh, you can stay in Chandler's room."
2268,"Thanks. You're, uh, you're a good kid."
2269,"C'mon, I'll show you to my room. ...That sounds so weird when it's not followed by 'No thanks, it's late'. "
2270,"Okay. Now this is just for tonight. Starting tomorrow, you gotta make a change. This has gone on long enough."
2271,What kinda change?
2272,"Well, either you break it off with Ronni-"
2273,I can't do that!
2274,Then you gotta come clean with Ma! This is not right!
2275,"Yeah, but this is-"
2276,I don't wanna hear it! Now go to my room!
2277,"Hey, Kicky. What're you doing?"
2278,Just trying to get comfortable. I can't sleep in my underwear. 
2279,"Well, you're gonna."
2280,"I've been thinking. Y'know, about how I'm always seeing girls on top of girls..."
2281,"Are they end to end, or tall like pancakes?"
2282,"Y'know what I mean, about how I'm always going out with all these women. And I always figured, when the right one comes along, I'd be able to be a stand-up guy and go the distance, y'know? Now I'm looking at my dad, thinking..."
2283,"Hey, you're not him. You're you. When they were all over you to go into your father's pipe-fitting business, did you cave?"
2285,"No. You decided to go into the out-of-work actor business. Now that wasn't easy, but you did it! And I'd like to believe that when the right woman comes along, you will have the courage and the guts to say- 'No thanks, I'm married'."
2286,You really think so?
2287,Yeah. I really do.
2288,"Thanks, Chandler. "
2289,Get off!
2291,Hi...May I help you?
2292,"Yeah, uh, Joey said I could use your shower, since, uh, Chandler's in ours?"
2293,Okay...who are you?
2294,"Oh, I'm Ronni. Ronni Rappelano? The mistress?"
2295,"Oh, c'mon in."
2297,"Hi, I'm Rachel."
2299,Bathroom's up there.
2300,Great.
2301,"Hey, listen, Ronni, how long would you say Chandler's been in the shower?"
2302,"Oh, like, uh, five minutes?"
2303,"Perfect. Fasten your seatbelts, it's pee-pee time.  Hey, Mr. Trib. "
2304,"Hey. Morning, dear."
2305,Chandler Bing? It's time to see your thing.
2306,What's the matter with you?!
2307,I thought it was Chandler!
2308,What? What?
2309,You were supposed to be in there so I could see your thing!
2310,"Sorry, my- my thing was in there with me."
2312,Hey. 
2313,How's it going?
2314,Good. Oh oh! Roger's having a dinner thing and he wanted me to invite you guys.
2315,So what's going on?
2316,"Nothing, um, it's just, um... It's Roger. "
2317,"I dunno, there's just something about..."
2318,Basically we just feel that he's...
2319,We hate that guy.
2320,Yeah. Hate him.
2321,"We're sorry, Pheebs, we're sorry."
2322,"...No, we hate him."
2323,We're sorry.
2324,Ma! What're you doing here?
2325,I came to give you this  and this. 
2326,Oww! Big ring!
2327,"Why did you have to fill your father's head with all that garbage about making things right? Things were fine the way they were! There's chicken in there, put it away. For God's sake, Joey, really. "
2328,"Hold on, you-you knew?"
2329,"Of course I knew! Whaddyou think? Your father is no James Bond. You should've heard some of his cover stories. 'I'm sleeping over at my accountant's'- I mean, what is that? Please!"
2330,"So then- how could you- I mean, how could you?!-"
2331,"Do you remember how your father used to be? Always yelling, always yelling nothing made him happy, nothing made him happy, not that wood shop, not those stupid little ships in the bottle, nothing. Now he's happy! I mean, it's nice, he has a hobby."
2332,"Ma, I don't mean to be disrespectful, but... what the hell are you talking about?! I mean, what about you?"
2333,"Me? I'm fine. Look, honey, in an ideal world, there'd be no her, and your father would look like Sting. And I'll tell you something else. Ever since that poodle-stuffer came along, he's been so ashamed of himself that he's been more attentive, he's been more loving... I mean, it's like every day's our anniversary."
2334,I'm...happy...for you?
2335,"Well don't be, because now everything's screwed up. I just want it the way it was."
2336,"Ma, I'm sorry. I just did what I thought you'd want."
2337,"I know you did, cookie. Oh, I know you did. So tell me. Did you see her?"
2338,Yeah. You're ten times prettier than she is.
2339,That's sweet. Could I take her?
2340,With this ring? No contest.
2341,"What's wrong, sweetie?"
2342,"Nothing, nothing."
2343,"Aaaah, what's wrong, c'mon. "
2344,"It's, I mean, it's nothing, I'm fine. It's my friends. They-they have a liking problem with you. In that, um, they don't."
2345,Oh. They don't.
2346,But they don't see all the wonderfulness that I see. They don't see all the good stuff and all the sweet stuff. They just think you're a little...
2348,Intense and creepy. 
2350,"But I don't. Me, Phoebe."
2351,"Well, I'm not- I'm not at all surprised they feel that way."
2352,"You're not? See, that's why you're so great! "
2353,"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic. Y'know, this kind of co-dependant, emotionally stunted, sitting in your stupid coffee house with your stupid big cups which, I'm sorry, might as well have nipples on them, and you're like all 'Oh, define me! Define me! Love me, I need love!'."
2354,"So you talked to your dad, huh."
2355,"Yeah. He's gonna keep cheating on my ma like she wanted, she's gonna keep pretending she doesn't know even though she does, and my little sister Tina can't see her husband any more because he got a restraining order...which has nothing to do with anything except that I found out today."
2357,Things sure have changed here on Waltons mountain.
2358,"So Joey, you okay?"
2359,"Yeah, I guess. It's just- parents, after a certain point, you gotta let go. Even if you know better, you've gotta let them make their own mistakes."
2360,"Just think, in a couple of years we get to turn into them."
2361,"If I turn into my parents, I'll either be an alcoholic blond chasing after twenty-year-old boys, or... I'll end up like my mom."
2365,"Oh, okay, except I broke up with Roger."
2366,Awww.
2367,"Yeah, right."
2368,Aaawwwwww!!
2369,What happened?
2370,"I don't know, I mean, he's a good person, and he can be really sweet, and in some ways I think he is so right for me, it's just... I hate that guy!"
2371,"Hey, Joey. What's going on?"
2372,Clear the tracks for the boobie payback express. Next stop: Rachel Green. 
2373,Joey!! What the hell were you doing?!
2374,Sorry. Wrong boobies.
2375,"Hello, Joey."
2376,"Oh! ...Hello, dear. "
2377,"I'm tellin' you Ross, she wants you."
2378,She barely knows me. We just live in the same building.
2379,Any contact?
2380,She lent me an egg once.
2381,You're in!
2382,"Aw, right."
2383,"Hi, Ross."
2385,"Come on, Ross, you gotta get back in the game here, ok? The Rachel thing's not happening, your ex-wife is a lesbian--I don't think we need a third..."
2386,"Excuse me, could we get an egg over here, still in the shell? Thanks."
2387,An egg?
2388,"Yeah, you're gonna go up to her and say, ""Here's your egg back, I'm returning your egg."""
2389,I think it's winning.
2390,I think it's insane.
2391,"She'll love it. Go with the egg, my friend."
2392,Think it'll work?
2393,"No, it's su1c1de. The man's got an egg."
2394,You can not do this.
2395,"Do what, do what?"
2396,Roger wants to take her out tomorrow night.
2397,No! Phoebes! Don't you remember why you dumped the guy?
2398,"'Cause he was creepy, and mean, and a little frightening... alright, still, it's nice to have a date on Valentine's Day!"
2399,"But Phoebe, you can go out with a creepy guy any night of the year. I know I do."
2400,"Well, what are you guys doing tomorrow night?"
2401,"Actually, tomorrow night kinda depends on how tonight goes."
2402,"Oh, uh, listen, about tonight..."
2403,"No, no, no, don't you dare bail on me. The only reason she's goin' out with me is because I said I could bring a friend for her friend."
2404,"Yes, I know, but her friend sounds like such a--"
2405,"Pathetic mess? I know, but--come on, man, she's needy, she's vulnerable. I'm thinkin', cha-ching!  Thanks. Look, you have not been out with a woman since Janice. You're doin' this."
2406,Hi. She said yes.
2407,"Yes! Way to go, man!  Still got the egg, huh?"
2408,How do I look?
2409,"Oh, uh, I... don't... care.  Ok, now, remember, no trading. You get the pretty one, I get the mess."
2410,"Hi, Joey. Well well, look what you brought. Very nice."
2411,...And what did you bring?
2412,"She's checking the coats. Joey, I'm gonna go wash the cab smell off my hands. Will you get me a white Zinfandel, and a glass of red for Janice."
2413,Janice?
2414,Oh.... my.... God.
2415,"Hey, it's Janice."
2416,"Ok, I'm makin' a break for it, I'm goin' out the window."
2417,"No, no, no, don't! I've been waitin' for like, forever to go out with Lorraine. Just calm down. CHANDLER: Calm down? Calm down? You set me up with the woman that I've dumped twice in the last five months!"
2418,"Can you stop yellin'? You're makin' me nervous, and I can't go when I'm nervous."
2419,"I'm sorry, I'm sorry, you're right.  Come on, do it, do it, go, come on!!!"
2420,"Ok, ok, Roger was creepy, but he was nothing compared to Pete Carney."
2421,Which one was Pete Carney?
2422,"Pete the Weeper? Remember that guy who used to cry every time we had sex.  ""Was it good for you?"""
2423,"Yeah, well, I'll take a little crying any day over Howard-the-""I-win""-guy.  ""I win! I win!"" I went out with the guy for two months--I didn't get to win once."
2424,How did we end up with these jerks? We're good people!
2425,I don't know. Maybe we're some kinda magnets.
2426,I know I am. That's why I can't wear a digital watch.
2427,"There's more beer, right?"
2428,"Oh! You know my friend Abby who shaves her head? She said that if you want to break the bad boyfriend cycle, you can do like a cleansing ritual."
2429,"Phoebes, this woman is voluntarily bald."
2430,"Yeah. So, we can do it tomorrow night, you guys. It's Valentine's Day. It's perfect."
2431,"Ok, well, what kind of ritual?"
2432,"Ok. We can, um, we can burn the stuff they gave us."
2433,Or?
2434,"Or...or we can chant and dance around naked, you know, with sticks."
2435,Burning's good.
2436,"Burning's good. Yeah, I got stuff to burn."
2437,"You know, ever since I was little, I've been able to pick up quarters with my toes."
2438,"Good for you.  Uh, quarters or rolls of quarters?"
2439,"By the way, Chandler. I cut you out of all my pictures. So if you want, I have a bag with just your heads."
2440,That's OK.
2441,"Oh, are you sure? Really? Because you know, you could make little puppets out of them, and you could use them in your theater of cruelty."
2442,We can't do that.
2443,What? What can't you do?
2444,"Uh, can I talk to you for a second, over there?"
2445,"Uh, we might be leaving now."
2446,"Tell me it's ""you and me"" we."
2447,"She said she wants to slather my body with stuff and then lick it off. I'm not even sure what slathering is, but I definitely want to be a part of it."
2448,"Ok, you can not do this to me."
2449,"You're right, I'm sorry. You're right."
2450,"Uh, can we have three chocolate mousses to go please?"
2451,"I'm outta here. Here's my credit card. Dinner's on me. I'm sorry, Chandler."
2452,I hope she throws up on you.
2453,So...
2454,Just us.
2455,"Oh, what a crappy night!"
2456,"Although, I have enjoyed the fact that, uh your shirt's been stickin' outta your zipper ever since you came back from the bathroom."
2457,Excuse me.  How ya doin'?
2458,"So, do we have the best friends or what?"
2459,Joey's not a friend. He's...a stupid man who left us his credit card. Another drink? Some dessert? A big screen TV?
2460,I will go for that drink.
2461,You got it. Good woman!  Could we get a bottle of your most overpriced champagne?
2462,Each.
2463,"That's right, each. Oh, and a uh Rob Roy.  I've always wanted to know..."
2464,Happy Valentine's Day!
2465,"Oh, I miss you already. Can you believe this happened?"
2466,"No... no! And yet it did. Good-bye, Janice."
2467,Kiss me!
2468,"Oh, Chandler, sorry."
2469,"Ohhh, Chandler, sorry! Hey, Janice."
2470,"Hi, Monica."
2471,"Ok, well, this was very special."
2472,"Rache, come see who's out here!"
2473,"Oh my god. Janice, hi!"
2474,Janice is gonna go away now.
2475,I'll be right back.
2476,"Oh, Joey, look who it is."
2477,Whoa.
2478,"Oh, good, Joey's home now."
2479,This is so fun. This is like a reunion in the hall.
2480,"Oh, hi, Ross. Yeah. There's someone I want you to say hi to.  He just happened to call."
2481,"Hi, Ross. Yes, it's me. How did you know? "
2482,"I'm just sayin' if dogs do experience jet lag, then, because of the whole um, seven dog years to one human year thing, then, when a dog flies from New York to Los Angeles, he doesn't just lose three hours, he loses like a week and a half."
2483,That's funny. Who are they?
2484,"The blond woman is my ex-wife, and the woman touching her is her... close, personal friend."
2485,You mean they're lovers.
2486,If you wanna put a label on it.
2487,"Wow, uh, anything else I should know?"
2488,"Nope, nope, that's it."
2489,"Oh, and she's pregnant with my baby. I always forget that part.  Helloo!"
2490,"Ok, so now we need, um sage branches and the sacramental wine."
2491,"All I have is, is oregano and a Fresca."
2492,"Um, that's ok!  Ok. All right. Now we need the semen of a righteous man."
2493,"Ok, Pheebs, you know what, if we had that, we wouldn't be doing the ritual in the first place."
2494,Can we just start throwing things in?
2495,"Ok, yeah, ok.  Oh, OK."
2496,"Ok, Barry's letters. Adam Ritter's boxer shorts."
2497,"Ok, and I have the, uh receipt for my dinner with Nokululu Oon Ah Ah."
2498,"Look, here's a picture of Scotty Jared naked."
2499,Hey he's wearing a sweater.
2502,And here we have the last of Paulo's grappa.
2503,"Hey, Rachel, isn't that stuff almost pure--"
2504,How can I dump this woman on Valentine's day?
2505,I don't know. You dumped her on New Year's.
2506,"Oh, man. In my next life, I'm coming back as a toilet brush."
2507,"Hello, funny Valentine."
2508,"Hi, Just Janice."
2509,"Hello, Joey, our little matchmaker. I could just kiss you all over, and I'm gonna!"
2510,"If you don't do it, I will."
2511,"So, um, what do you do for a living?"
2512,"Well, um, for the past few years I've been working.....which is funny because, that wasn't even my major."
2513,Oh no. I thought you said they could sh**t the spot without you. SUSAN: I thought they could...I'll try to get back as soon as I can. I'm sorry. 
2514,"Now that is funny. Hey, do you think...would it be too weird if I invited Carol over to join us? 'Cause she's, she's alone now, and pregnant, and, and sad."
2515,I guess.
2516,Are you sure? Great. Carol? Wanna come over and join us?
2517,"Oh, no no no. I'm fine. I'm fine."
2518,"Come on. These people'll scooch down. You guys'll scooch, won't you? Let's try scooching! Come on. Come on. Uh, Kristen Riggs, this is Carol Willick. Carol, Kristin. Uh, Carol teaches sixth grade. And, Kristin, Kristin......does something that, funnily enough, wasn't even her major!"
2519,What do we got there?
2520,"A piece of something: boxer shorts, greeting cards, and what looks like a half-charred picture--Wow, that guy's hairier than the Chief!"
2521,"You know, it's a really funny story how this happened."
2522,It's all right. It's all right. You don't have to explain. This isn't the first boyfriend bonfire that we've seen get out of control.
2523,You're our third call tonight.
2525,"Oh, sure, Valentine's is our busiest night of the year."
2526,I brought you something.
2527,"Is it loaded? Oh, little candy hearts.  Chan and Jan Forever."
2528,I had them made special.
2529,"Ok, Janice. Janice. Hey, Janice. Look, there's no way for me to tell you this. At least there's no new way for me to tell you this. I just don't things are gonna work out."
2530,That's fine.
2531,It is?
2532,Mmm-hmm. Because I know that this isn't the end.
2533,"Oh no, you see, actually it is."
2534,"No, it isn't, because you won't let that happen. Don't you know it yet? You love me, Chandler Bing."
2535,"Oh, no I don't."
2536,Well then ask yourself this. Why do you think we keep ending up together? New Year's? Who invited who? Valentine's? Who asked who into whose bed?
2537,"I did, but--"
2538,"You seek me out. Something deep in your soul calls out to me like a foghorn. Janice, Janice. You want me. You need me. You can't live without me. And you know it. You just don't know you know it. See ya."
2539,Call me!
2540,It's not true. I never called your mother a wolverine.
2541,"You did so. I swear, I swear-- How long has she been in the bathroom?"
2542,"Uh, I don't think she's in the bathroom. Her coat is gone."
